Namespace(exp_name='pointnet_200', model='pointnet', dataset='modelnet40', batch_size=5, test_batch_size=2, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=200, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 1 devices
Test 65, loss: 1.809213, test acc: 0.166667, test avg acc: 0.166667
Train 66, loss: 1.813423, train acc: 0.169841, train avg acc: 0.169841
Test 66, loss: 1.805585, test acc: 0.166667, test avg acc: 0.166667
Train 67, loss: 1.813595, train acc: 0.162897, train avg acc: 0.162897
Test 67, loss: 1.807221, test acc: 0.166667, test avg acc: 0.166667
Train 68, loss: 1.813462, train acc: 0.164683, train avg acc: 0.164683
Test 68, loss: 1.817703, test acc: 0.166667, test avg acc: 0.166667
Train 69, loss: 1.811840, train acc: 0.169147, train avg acc: 0.169147
Test 69, loss: 1.860541, test acc: 0.166667, test avg acc: 0.166667
Train 70, loss: 1.810592, train acc: 0.169940, train avg acc: 0.169940
Test 70, loss: 1.801383, test acc: 0.166667, test avg acc: 0.166667
Train 71, loss: 1.810397, train acc: 0.166964, train avg acc: 0.166964
Test 71, loss: 1.801591, test acc: 0.166667, test avg acc: 0.166667
Train 72, loss: 1.812402, train acc: 0.166270, train avg acc: 0.166270
Test 72, loss: 1.800138, test acc: 0.166667, test avg acc: 0.166667
Train 73, loss: 1.812035, train acc: 0.168452, train avg acc: 0.168452
Test 73, loss: 1.817607, test acc: 0.166667, test avg acc: 0.166667
Train 74, loss: 1.810401, train acc: 0.164881, train avg acc: 0.164881
Test 74, loss: 1.809667, test acc: 0.166667, test avg acc: 0.166667
Train 75, loss: 1.811414, train acc: 0.165675, train avg acc: 0.165675
Test 75, loss: 1.810530, test acc: 0.166667, test avg acc: 0.166667
Train 76, loss: 1.811454, train acc: 0.167163, train avg acc: 0.167163
Test 76, loss: 1.807608, test acc: 0.166667, test avg acc: 0.166667
Train 77, loss: 1.812813, train acc: 0.160218, train avg acc: 0.160218
Test 77, loss: 1.802871, test acc: 0.166667, test avg acc: 0.166667
Train 78, loss: 1.809507, train acc: 0.168254, train avg acc: 0.168254
Test 78, loss: 1.821306, test acc: 0.166667, test avg acc: 0.166667
Train 79, loss: 1.811780, train acc: 0.158929, train avg acc: 0.158929
Test 79, loss: 1.810177, test acc: 0.166667, test avg acc: 0.166667
Train 80, loss: 1.810906, train acc: 0.165873, train avg acc: 0.165873
