Namespace(exp_name='dgcnn_1024', model='dgcnn', dataset='modelnet40', batch_size=5, test_batch_size=2, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 1 devices
Train 117, loss: 1.133762, train acc: 0.844444, train avg acc: 0.844422
Test 117, loss: 1.357921, test acc: 0.716216, test avg acc: 0.716216
Train 118, loss: 1.134716, train acc: 0.848211, train avg acc: 0.848217
Test 118, loss: 1.467775, test acc: 0.696697, test avg acc: 0.696697
Train 119, loss: 1.126929, train acc: 0.853484, train avg acc: 0.853492
Test 119, loss: 1.319714, test acc: 0.869369, test avg acc: 0.869369
Train 120, loss: 1.135439, train acc: 0.842185, train avg acc: 0.842162
Test 120, loss: 1.358153, test acc: 0.603604, test avg acc: 0.603604
Train 121, loss: 1.144497, train acc: 0.844821, train avg acc: 0.844894
Test 121, loss: 1.217902, test acc: 0.824324, test avg acc: 0.824324
Train 122, loss: 1.125898, train acc: 0.852731, train avg acc: 0.852745
Test 122, loss: 1.236105, test acc: 0.717718, test avg acc: 0.717718
Train 123, loss: 1.120069, train acc: 0.862147, train avg acc: 0.862128
Test 123, loss: 1.416069, test acc: 0.633634, test avg acc: 0.633634
Train 124, loss: 1.129958, train acc: 0.845198, train avg acc: 0.845219
Test 124, loss: 1.352062, test acc: 0.651652, test avg acc: 0.651652
Train 125, loss: 1.116392, train acc: 0.859510, train avg acc: 0.859519
Test 125, loss: 1.382984, test acc: 0.477477, test avg acc: 0.477477
Train 126, loss: 1.134547, train acc: 0.848588, train avg acc: 0.848578
Test 126, loss: 1.250409, test acc: 0.666667, test avg acc: 0.666667
Train 127, loss: 1.110296, train acc: 0.858380, train avg acc: 0.858335
Test 127, loss: 1.103750, test acc: 0.918919, test avg acc: 0.918919
Train 128, loss: 1.108158, train acc: 0.863653, train avg acc: 0.863684
Test 128, loss: 1.255886, test acc: 0.719219, test avg acc: 0.719219
Train 129, loss: 1.117905, train acc: 0.859134, train avg acc: 0.859132
Test 129, loss: 1.314934, test acc: 0.662162, test avg acc: 0.662162
Train 130, loss: 1.113911, train acc: 0.866290, train avg acc: 0.866248
Test 130, loss: 1.311211, test acc: 0.653153, test avg acc: 0.653153
Train 131, loss: 1.112285, train acc: 0.864407, train avg acc: 0.864435
Test 131, loss: 1.163834, test acc: 0.858859, test avg acc: 0.858859
Train 132, loss: 1.097554, train acc: 0.874953, train avg acc: 0.874914
Test 132, loss: 1.266590, test acc: 0.705706, test avg acc: 0.705706
Train 133, loss: 1.097221, train acc: 0.871186, train avg acc: 0.871154
Test 133, loss: 1.132528, test acc: 0.936937, test avg acc: 0.936937
Train 134, loss: 1.077699, train acc: 0.891149, train avg acc: 0.891159
Test 134, loss: 1.295035, test acc: 0.729730, test avg acc: 0.729730
Train 135, loss: 1.086991, train acc: 0.873446, train avg acc: 0.873439
Test 135, loss: 1.367638, test acc: 0.728228, test avg acc: 0.728228
Train 136, loss: 1.093465, train acc: 0.879096, train avg acc: 0.879124
Test 136, loss: 1.224396, test acc: 0.738739, test avg acc: 0.738739
Train 137, loss: 1.099479, train acc: 0.875706, train avg acc: 0.875730
Test 137, loss: 1.340289, test acc: 0.609610, test avg acc: 0.609610
Train 138, loss: 1.106703, train acc: 0.866290, train avg acc: 0.866266
Test 138, loss: 1.393717, test acc: 0.486486, test avg acc: 0.486486
Train 139, loss: 1.077227, train acc: 0.877966, train avg acc: 0.878013
Test 139, loss: 1.219414, test acc: 0.797297, test avg acc: 0.797297
Train 140, loss: 1.079515, train acc: 0.883239, train avg acc: 0.883264
Test 140, loss: 1.382707, test acc: 0.513514, test avg acc: 0.513514
Train 141, loss: 1.083733, train acc: 0.882486, train avg acc: 0.882471
Test 141, loss: 1.237265, test acc: 0.746246, test avg acc: 0.746246
Train 142, loss: 1.077743, train acc: 0.886629, train avg acc: 0.886639
Test 142, loss: 1.187969, test acc: 0.819820, test avg acc: 0.819820
Train 143, loss: 1.081276, train acc: 0.882486, train avg acc: 0.882494
Test 143, loss: 1.065028, test acc: 0.908408, test avg acc: 0.908408
Train 144, loss: 1.100704, train acc: 0.876083, train avg acc: 0.876067
Test 144, loss: 1.158969, test acc: 0.822823, test avg acc: 0.822823
Train 145, loss: 1.092738, train acc: 0.879849, train avg acc: 0.879853
Test 145, loss: 1.373422, test acc: 0.680180, test avg acc: 0.680180
Train 146, loss: 1.103546, train acc: 0.869303, train avg acc: 0.869300
Test 146, loss: 1.271556, test acc: 0.746246, test avg acc: 0.746246
Train 147, loss: 1.091446, train acc: 0.869680, train avg acc: 0.869728
Test 147, loss: 1.208703, test acc: 0.771772, test avg acc: 0.771772
Train 148, loss: 1.078973, train acc: 0.890395, train avg acc: 0.890431
Test 148, loss: 1.252863, test acc: 0.765766, test avg acc: 0.765766
Train 149, loss: 1.063771, train acc: 0.898682, train avg acc: 0.898682
Test 149, loss: 1.237913, test acc: 0.833333, test avg acc: 0.833333
Train 150, loss: 1.066862, train acc: 0.888512, train avg acc: 0.888515
Test 150, loss: 1.197967, test acc: 0.837838, test avg acc: 0.837838
Train 151, loss: 1.063657, train acc: 0.893785, train avg acc: 0.893798
Test 151, loss: 1.281341, test acc: 0.695195, test avg acc: 0.695195
Train 152, loss: 1.054828, train acc: 0.898682, train avg acc: 0.898684
Test 152, loss: 1.226757, test acc: 0.773273, test avg acc: 0.773273
Train 153, loss: 1.060444, train acc: 0.892655, train avg acc: 0.892641
Test 153, loss: 0.996488, test acc: 0.959459, test avg acc: 0.959459
Train 154, loss: 1.048098, train acc: 0.902825, train avg acc: 0.902804
Test 154, loss: 1.243235, test acc: 0.881381, test avg acc: 0.881381
Train 155, loss: 1.054183, train acc: 0.899435, train avg acc: 0.899436
Test 155, loss: 1.333371, test acc: 0.576577, test avg acc: 0.576577
Train 156, loss: 1.062038, train acc: 0.891149, train avg acc: 0.891145
Test 156, loss: 1.103947, test acc: 0.873874, test avg acc: 0.873874
Train 157, loss: 1.039651, train acc: 0.916008, train avg acc: 0.916023
Test 157, loss: 1.080653, test acc: 0.849850, test avg acc: 0.849850
Train 158, loss: 1.064362, train acc: 0.899435, train avg acc: 0.899427
Test 158, loss: 1.333004, test acc: 0.675676, test avg acc: 0.675676
Train 159, loss: 1.044439, train acc: 0.914124, train avg acc: 0.914134
Test 159, loss: 1.095780, test acc: 0.857357, test avg acc: 0.857357
Train 160, loss: 1.045564, train acc: 0.905838, train avg acc: 0.905831
Test 160, loss: 1.237436, test acc: 0.680180, test avg acc: 0.680180
Train 161, loss: 1.030414, train acc: 0.916384, train avg acc: 0.916414
Test 161, loss: 1.217228, test acc: 0.773273, test avg acc: 0.773273
Train 162, loss: 1.022176, train acc: 0.921657, train avg acc: 0.921662
Test 162, loss: 1.036686, test acc: 0.947447, test avg acc: 0.947447
Train 163, loss: 1.030068, train acc: 0.919021, train avg acc: 0.919009
Test 163, loss: 1.104501, test acc: 0.870871, test avg acc: 0.870871
Train 164, loss: 1.027096, train acc: 0.922411, train avg acc: 0.922395
Test 164, loss: 1.141435, test acc: 0.803303, test avg acc: 0.803303
Train 165, loss: 1.028079, train acc: 0.921281, train avg acc: 0.921275
Test 165, loss: 1.044744, test acc: 0.903904, test avg acc: 0.903904
Train 166, loss: 1.027150, train acc: 0.919774, train avg acc: 0.919744
Test 166, loss: 1.130036, test acc: 0.921922, test avg acc: 0.921922
Train 167, loss: 1.032540, train acc: 0.919021, train avg acc: 0.919027
Test 167, loss: 1.192030, test acc: 0.782282, test avg acc: 0.782282
Train 168, loss: 1.020544, train acc: 0.920527, train avg acc: 0.920525
Test 168, loss: 1.110775, test acc: 0.855856, test avg acc: 0.855856
Train 169, loss: 1.029459, train acc: 0.921657, train avg acc: 0.921675
Test 169, loss: 1.142960, test acc: 0.851351, test avg acc: 0.851351
Train 170, loss: 1.028336, train acc: 0.915631, train avg acc: 0.915609
Test 170, loss: 1.208875, test acc: 0.884384, test avg acc: 0.884384
Train 171, loss: 1.017353, train acc: 0.932957, train avg acc: 0.932953
Test 171, loss: 1.038093, test acc: 0.945946, test avg acc: 0.945946
Train 172, loss: 1.015277, train acc: 0.929567, train avg acc: 0.929582
Test 172, loss: 1.221148, test acc: 0.726727, test avg acc: 0.726727
Train 173, loss: 1.003757, train acc: 0.935593, train avg acc: 0.935583
Test 173, loss: 1.162726, test acc: 0.836336, test avg acc: 0.836336
Train 174, loss: 0.990862, train acc: 0.943879, train avg acc: 0.943865
Test 174, loss: 1.216894, test acc: 0.728228, test avg acc: 0.728228
Train 175, loss: 1.001486, train acc: 0.938606, train avg acc: 0.938593
