Namespace(batch_size=5, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='dgcnn_50_cpu', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=True, num_points=50, seed=1, test_batch_size=2, use_sgd=True)
Using CPU
Test 108, loss: 1.000312, test acc: 0.970238, test avg acc: 0.970238
Train 109, loss: 1.055847, train acc: 0.916129, train avg acc: 0.916137
Test 109, loss: 1.069868, test acc: 0.863095, test avg acc: 0.863095
Train 110, loss: 1.054979, train acc: 0.902233, train avg acc: 0.902228
Test 110, loss: 1.109717, test acc: 0.920635, test avg acc: 0.920635
Train 111, loss: 1.045358, train acc: 0.912655, train avg acc: 0.912690
Test 111, loss: 1.115770, test acc: 0.871032, test avg acc: 0.871032
Train 112, loss: 1.041763, train acc: 0.918114, train avg acc: 0.918130
Test 112, loss: 1.020685, test acc: 0.968254, test avg acc: 0.968254
Train 113, loss: 1.041318, train acc: 0.915633, train avg acc: 0.915624
Test 113, loss: 1.051218, test acc: 0.863095, test avg acc: 0.863095
Train 114, loss: 1.033491, train acc: 0.926551, train avg acc: 0.926507
Test 114, loss: 0.991856, test acc: 0.970238, test avg acc: 0.970238
Train 115, loss: 1.038090, train acc: 0.920099, train avg acc: 0.920131
Test 115, loss: 0.943828, test acc: 0.980159, test avg acc: 0.980159
Train 116, loss: 1.040643, train acc: 0.923573, train avg acc: 0.923605
Test 116, loss: 0.959500, test acc: 0.956349, test avg acc: 0.956349
Train 117, loss: 1.038261, train acc: 0.920596, train avg acc: 0.920583
Test 117, loss: 0.989625, test acc: 0.950397, test avg acc: 0.950397
Train 118, loss: 1.028010, train acc: 0.926551, train avg acc: 0.926581
Test 118, loss: 0.959034, test acc: 0.970238, test avg acc: 0.970238
Train 119, loss: 1.018678, train acc: 0.938462, train avg acc: 0.938425
Test 119, loss: 1.077015, test acc: 0.839286, test avg acc: 0.839286
Train 120, loss: 1.036960, train acc: 0.917122, train avg acc: 0.917118
Test 120, loss: 0.989348, test acc: 0.982143, test avg acc: 0.982143
Train 121, loss: 1.014286, train acc: 0.932010, train avg acc: 0.932039
Test 121, loss: 0.949680, test acc: 0.972222, test avg acc: 0.972222
Train 122, loss: 1.036373, train acc: 0.928536, train avg acc: 0.928539
Test 122, loss: 1.031030, test acc: 0.936508, test avg acc: 0.936508
Train 123, loss: 1.033068, train acc: 0.921588, train avg acc: 0.921551
Test 123, loss: 1.039348, test acc: 0.898810, test avg acc: 0.898810
Train 124, loss: 1.029719, train acc: 0.932506, train avg acc: 0.932475
Test 124, loss: 1.099597, test acc: 0.880952, test avg acc: 0.880952
Train 125, loss: 1.003881, train acc: 0.943921, train avg acc: 0.943928
Test 125, loss: 0.947606, test acc: 0.974206, test avg acc: 0.974206
Train 126, loss: 0.997864, train acc: 0.942928, train avg acc: 0.942906
Test 126, loss: 1.158268, test acc: 0.740079, test avg acc: 0.740079
Train 127, loss: 1.001772, train acc: 0.944417, train avg acc: 0.944428
Test 127, loss: 0.921977, test acc: 0.986111, test avg acc: 0.986111
Train 128, loss: 1.012840, train acc: 0.936973, train avg acc: 0.936982
Test 128, loss: 0.983787, test acc: 0.968254, test avg acc: 0.968254
Train 129, loss: 1.018153, train acc: 0.933002, train avg acc: 0.933031
Test 129, loss: 0.979344, test acc: 0.952381, test avg acc: 0.952381
Train 130, loss: 0.997454, train acc: 0.942928, train avg acc: 0.942900
Test 130, loss: 0.969200, test acc: 0.944444, test avg acc: 0.944444
Train 131, loss: 1.007913, train acc: 0.938958, train avg acc: 0.938939
Test 131, loss: 1.024833, test acc: 0.942460, test avg acc: 0.942460
Train 132, loss: 0.997667, train acc: 0.946898, train avg acc: 0.946905
Test 132, loss: 0.973698, test acc: 0.960317, test avg acc: 0.960317
Train 133, loss: 0.983745, train acc: 0.949380, train avg acc: 0.949383
Test 133, loss: 0.941791, test acc: 0.950397, test avg acc: 0.950397
Train 134, loss: 0.990952, train acc: 0.940447, train avg acc: 0.940455
Test 134, loss: 0.932237, test acc: 0.978175, test avg acc: 0.978175
Train 135, loss: 0.995829, train acc: 0.942432, train avg acc: 0.942453
Test 135, loss: 0.960033, test acc: 0.968254, test avg acc: 0.968254
Train 136, loss: 0.992270, train acc: 0.946402, train avg acc: 0.946406
Test 136, loss: 1.138711, test acc: 0.835317, test avg acc: 0.835317
Train 137, loss: 0.990581, train acc: 0.949380, train avg acc: 0.949350
Test 137, loss: 0.984781, test acc: 0.962302, test avg acc: 0.962302
Train 138, loss: 0.988005, train acc: 0.941935, train avg acc: 0.941908
Test 138, loss: 1.035095, test acc: 0.916667, test avg acc: 0.916667
Train 139, loss: 0.980629, train acc: 0.951365, train avg acc: 0.951350
Test 139, loss: 0.910294, test acc: 0.984127, test avg acc: 0.984127
Train 140, loss: 0.988055, train acc: 0.952854, train avg acc: 0.952862
Test 140, loss: 1.106194, test acc: 0.803571, test avg acc: 0.803571
Train 141, loss: 0.991051, train acc: 0.949380, train avg acc: 0.949356
Test 141, loss: 0.921691, test acc: 0.980159, test avg acc: 0.980159
Train 142, loss: 0.986496, train acc: 0.952357, train avg acc: 0.952344
Test 142, loss: 0.923855, test acc: 0.980159, test avg acc: 0.980159
Train 143, loss: 0.996100, train acc: 0.948387, train avg acc: 0.948386
Test 143, loss: 0.921684, test acc: 0.982143, test avg acc: 0.982143
Train 144, loss: 0.977890, train acc: 0.950868, train avg acc: 0.950874
Test 144, loss: 0.938457, test acc: 0.988095, test avg acc: 0.988095
Train 145, loss: 0.983515, train acc: 0.953846, train avg acc: 0.953845
Test 145, loss: 0.983599, test acc: 0.954365, test avg acc: 0.954365
Train 146, loss: 0.981573, train acc: 0.955335, train avg acc: 0.955329
Test 146, loss: 0.914096, test acc: 0.976190, test avg acc: 0.976190
Train 147, loss: 0.968297, train acc: 0.956824, train avg acc: 0.956826
Test 147, loss: 0.877803, test acc: 0.986111, test avg acc: 0.986111
Train 148, loss: 0.977719, train acc: 0.956824, train avg acc: 0.956825
Test 148, loss: 0.958395, test acc: 0.962302, test avg acc: 0.962302
Train 149, loss: 0.965693, train acc: 0.958809, train avg acc: 0.958826
Test 149, loss: 0.903377, test acc: 0.978175, test avg acc: 0.978175
Train 150, loss: 0.979162, train acc: 0.955831, train avg acc: 0.955810
Test 150, loss: 0.966612, test acc: 0.972222, test avg acc: 0.972222
Train 151, loss: 0.967453, train acc: 0.962779, train avg acc: 0.962750
Test 151, loss: 0.967630, test acc: 0.958333, test avg acc: 0.958333
Train 152, loss: 0.960245, train acc: 0.965261, train avg acc: 0.965276
Test 152, loss: 0.887485, test acc: 0.980159, test avg acc: 0.980159
Train 153, loss: 0.972952, train acc: 0.959801, train avg acc: 0.959807
Test 153, loss: 0.914969, test acc: 0.974206, test avg acc: 0.974206
Train 154, loss: 0.961472, train acc: 0.961787, train avg acc: 0.961803
Test 154, loss: 0.920380, test acc: 0.978175, test avg acc: 0.978175
Train 155, loss: 0.944897, train acc: 0.973697, train avg acc: 0.973703
Test 155, loss: 1.007326, test acc: 0.904762, test avg acc: 0.904762
Train 156, loss: 0.960183, train acc: 0.959801, train avg acc: 0.959789
Test 156, loss: 0.898044, test acc: 0.978175, test avg acc: 0.978175
Train 157, loss: 0.953835, train acc: 0.965261, train avg acc: 0.965239
Test 157, loss: 0.997705, test acc: 0.892857, test avg acc: 0.892857
Train 158, loss: 0.960140, train acc: 0.961290, train avg acc: 0.961310
Test 158, loss: 0.921244, test acc: 0.982143, test avg acc: 0.982143
Train 159, loss: 0.950080, train acc: 0.967742, train avg acc: 0.967722
Test 159, loss: 0.881313, test acc: 0.986111, test avg acc: 0.986111
Train 160, loss: 0.964629, train acc: 0.962779, train avg acc: 0.962764
Test 160, loss: 0.886812, test acc: 0.982143, test avg acc: 0.982143
Train 161, loss: 0.958653, train acc: 0.965757, train avg acc: 0.965763
Test 161, loss: 0.907906, test acc: 0.980159, test avg acc: 0.980159
Train 162, loss: 0.949260, train acc: 0.971712, train avg acc: 0.971707
Test 162, loss: 0.912401, test acc: 0.974206, test avg acc: 0.974206
Train 163, loss: 0.948466, train acc: 0.969231, train avg acc: 0.969202
Test 163, loss: 0.910549, test acc: 0.980159, test avg acc: 0.980159
Train 164, loss: 0.941510, train acc: 0.970223, train avg acc: 0.970229
Test 164, loss: 0.915768, test acc: 0.974206, test avg acc: 0.974206
Train 165, loss: 0.943909, train acc: 0.968238, train avg acc: 0.968245
Test 165, loss: 0.901603, test acc: 0.978175, test avg acc: 0.978175
Train 166, loss: 0.953892, train acc: 0.964764, train avg acc: 0.964762
Test 166, loss: 0.913417, test acc: 0.974206, test avg acc: 0.974206
Train 167, loss: 0.942251, train acc: 0.971712, train avg acc: 0.971702
Test 167, loss: 0.936439, test acc: 0.968254, test avg acc: 0.968254
Train 168, loss: 0.953258, train acc: 0.970223, train avg acc: 0.970229
Test 168, loss: 0.879222, test acc: 0.986111, test avg acc: 0.986111
Train 169, loss: 0.936370, train acc: 0.978660, train avg acc: 0.978645
Test 169, loss: 0.924336, test acc: 0.974206, test avg acc: 0.974206
Train 170, loss: 0.947135, train acc: 0.967742, train avg acc: 0.967753
Test 170, loss: 0.903206, test acc: 0.974206, test avg acc: 0.974206
Train 171, loss: 0.932855, train acc: 0.973201, train avg acc: 0.973180
Test 171, loss: 0.908312, test acc: 0.974206, test avg acc: 0.974206
Train 172, loss: 0.948995, train acc: 0.964268, train avg acc: 0.964278
Test 172, loss: 0.910051, test acc: 0.990079, test avg acc: 0.990079
Train 173, loss: 0.932860, train acc: 0.975682, train avg acc: 0.975675
Test 173, loss: 0.884939, test acc: 0.984127, test avg acc: 0.984127
Train 174, loss: 0.945409, train acc: 0.970720, train avg acc: 0.970716
Test 174, loss: 0.880802, test acc: 0.982143, test avg acc: 0.982143
Train 175, loss: 0.935799, train acc: 0.974690, train avg acc: 0.974671
Test 175, loss: 0.950478, test acc: 0.962302, test avg acc: 0.962302
Train 176, loss: 0.927422, train acc: 0.978660, train avg acc: 0.978671
Test 176, loss: 0.856735, test acc: 0.996032, test avg acc: 0.996032
Train 177, loss: 0.924308, train acc: 0.980645, train avg acc: 0.980644
Test 177, loss: 0.888949, test acc: 0.990079, test avg acc: 0.990079
Train 178, loss: 0.930130, train acc: 0.973697, train avg acc: 0.973700
Test 178, loss: 0.991784, test acc: 0.982143, test avg acc: 0.982143
Train 179, loss: 0.938057, train acc: 0.970223, train avg acc: 0.970223
Test 179, loss: 0.882372, test acc: 0.978175, test avg acc: 0.978175
Train 180, loss: 0.931638, train acc: 0.976179, train avg acc: 0.976180
Test 180, loss: 0.863645, test acc: 0.994048, test avg acc: 0.994048
Train 181, loss: 0.925770, train acc: 0.978660, train avg acc: 0.978666
Test 181, loss: 0.878720, test acc: 0.980159, test avg acc: 0.980159
Train 182, loss: 0.924305, train acc: 0.978660, train avg acc: 0.978650
Test 182, loss: 0.870475, test acc: 0.980159, test avg acc: 0.980159
Train 183, loss: 0.920391, train acc: 0.980149, train avg acc: 0.980157
Test 183, loss: 0.869555, test acc: 0.992063, test avg acc: 0.992063
Train 184, loss: 0.923417, train acc: 0.982134, train avg acc: 0.982125
Test 184, loss: 0.863066, test acc: 0.996032, test avg acc: 0.996032
Train 185, loss: 0.932259, train acc: 0.973201, train avg acc: 0.973211
Test 185, loss: 0.881214, test acc: 0.988095, test avg acc: 0.988095
Train 186, loss: 0.927918, train acc: 0.973201, train avg acc: 0.973201
Test 186, loss: 0.867441, test acc: 0.982143, test avg acc: 0.982143
Train 187, loss: 0.920589, train acc: 0.981141, train avg acc: 0.981148
Test 187, loss: 0.881052, test acc: 0.980159, test avg acc: 0.980159
Train 188, loss: 0.928197, train acc: 0.976179, train avg acc: 0.976182
